library_RNA	integration_status
A54479	integrated
A50346	integrated
A50345	integrated
A50344	unintegrated
A52345	integrated
A50342	integrated
A50341	unintegrated
A50340	integrated
A54471	integrated
A52362	integrated
A54473	integrated
A52360	integrated
A52367	integrated
A52343	integrated
A54477	integrated
A52364	integrated
A37704	integrated
A37705	unintegrated
A37706	integrated
A37707	integrated
A37700	integrated
A37701	integrated
A37702	integrated
A50343	unintegrated
A37736	integrated
A37708	integrated
A52344	integrated
A37733	unintegrated
A54469	unintegrated
A37729	integrated
A57109	unintegrated
A37722	integrated
A37723	integrated
A37720	integrated
A37721	integrated
A37726	integrated
A37727	integrated
A37724	unintegrated
A37725	integrated
A52349	unintegrated
A54470	unintegrated
A54480	integrated
A57124	integrated
A57122	unintegrated
A57123	integrated
A57120	integrated
A57121	unintegrated
A52353	integrated
A54468	integrated
A52351	integrated
A50336	unintegrated
A50337	unintegrated
A52354	integrated
A37738	integrated
A50338	integrated
A52359	integrated
A52350	integrated
A52366	integrated
A37711	unintegrated
A37710	integrated
A37717	integrated
A37716	integrated
A37715	integrated
A37714	unintegrated
A57113	unintegrated
A37719	integrated
A37718	integrated
A57112	unintegrated
A57116	integrated
A57115	unintegrated
A52346	unintegrated
A52365	integrated
A57111	integrated
A37731	integrated
A37730	integrated
A50339	integrated
A37732	integrated
A37735	integrated
A37734	integrated
A37737	integrated
A57118	integrated
A57119	integrated
