	AS3	AS5	AS53	novel_exon	novel_intron	novel_utr	read-through	retained_intron	skipped_exon	sum
A52362	152.0	317.0		124.0	32.0	295.0	70.0	34.0	376.0	1400.0
A52343	195.0	390.0	1.0	216.0	56.0	361.0	61.0	7.0	344.0	1631.0
A52353	230.0	334.0		176.0	50.0	319.0	30.0	27.0	473.0	1639.0
A57111	266.0	390.0	2.0	216.0	52.0	279.0	34.0	85.0	339.0	1663.0
A54469	231.0	441.0	1.0	210.0	32.0	359.0	27.0	28.0	438.0	1767.0
A52364	242.0	472.0	1.0	206.0	47.0	325.0	43.0	43.0	495.0	1874.0
A52350	232.0	371.0		201.0	45.0	344.0	45.0	23.0	679.0	1940.0
A52349	287.0	498.0	2.0	273.0	54.0	445.0	32.0	32.0	608.0	2231.0
A54470	281.0	487.0	2.0	271.0	63.0	524.0	60.0	43.0	521.0	2252.0
A54477	264.0	452.0	3.0	332.0	46.0	472.0	15.0	65.0	634.0	2283.0
A52344	309.0	571.0	1.0	252.0	67.0	383.0	44.0	69.0	727.0	2423.0
A52346	379.0	572.0	2.0	339.0	81.0	418.0	18.0	62.0	582.0	2453.0
A54479	287.0	557.0	2.0	274.0	61.0	432.0	39.0	47.0	809.0	2508.0
A54468	307.0	594.0	1.0	292.0	51.0	456.0	45.0	47.0	715.0	2508.0
A52345	277.0	500.0	3.0	347.0	65.0	656.0	36.0	85.0	568.0	2537.0
A57116	320.0	611.0	6.0	267.0	64.0	500.0	54.0	203.0	515.0	2540.0
A50337	378.0	598.0	6.0	292.0	62.0	402.0	19.0	71.0	820.0	2648.0
A54480	398.0	655.0		464.0	75.0	469.0	52.0	34.0	537.0	2684.0
A52354	383.0	684.0	2.0	344.0	77.0	348.0	19.0	39.0	823.0	2719.0
A50342	283.0	583.0	3.0	312.0	62.0	602.0	45.0	14.0	953.0	2857.0
A54473	344.0	675.0	1.0	394.0	68.0	534.0	18.0	37.0	857.0	2928.0
A52366	348.0	636.0	6.0	306.0	71.0	599.0	54.0	137.0	794.0	2951.0
A57124	375.0	721.0	4.0	461.0	67.0	520.0	13.0	190.0	683.0	3034.0
A57121	392.0	744.0	4.0	399.0	73.0	601.0	51.0	221.0	606.0	3091.0
A57109	437.0	714.0	4.0	420.0	70.0	463.0	20.0	142.0	847.0	3117.0
A57118	403.0	752.0	4.0	455.0	70.0	597.0	24.0	133.0	710.0	3148.0
A52351	401.0	773.0	2.0	458.0	89.0	630.0	37.0	45.0	889.0	3324.0
A57112	421.0	757.0	4.0	359.0	97.0	523.0	50.0	271.0	897.0	3379.0
A57123	387.0	726.0	6.0	366.0	85.0	749.0	56.0	315.0	706.0	3396.0
A50336	453.0	778.0	5.0	359.0	98.0	506.0	22.0	90.0	1096.0	3407.0
A52359	486.0	787.0	1.0	404.0	71.0	636.0	52.0	45.0	935.0	3417.0
A50344	455.0	865.0	8.0	413.0	87.0	521.0	44.0	124.0	964.0	3481.0
A52367	469.0	823.0	6.0	420.0	70.0	563.0	62.0	100.0	1031.0	3544.0
A52360	534.0	880.0	2.0	403.0	84.0	543.0	84.0	93.0	925.0	3548.0
A57120	449.0	700.0	8.0	436.0	72.0	700.0	66.0	329.0	823.0	3583.0
A54471	410.0	694.0	5.0	514.0	84.0	669.0	78.0	54.0	1186.0	3694.0
A50340	470.0	872.0	7.0	393.0	114.0	654.0	39.0	153.0	1124.0	3826.0
A57113	511.0	795.0	5.0	451.0	109.0	775.0	65.0	274.0	889.0	3874.0
A50341	448.0	820.0	3.0	387.0	91.0	636.0	33.0	128.0	1399.0	3945.0
A57122	443.0	807.0	3.0	477.0	78.0	547.0	28.0	323.0	1274.0	3980.0
A50338	611.0	911.0	6.0	485.0	113.0	799.0	39.0	123.0	1191.0	4278.0
A52365	504.0	1022.0	8.0	505.0	127.0	875.0	45.0	78.0	1329.0	4493.0
A50339	611.0	1024.0	4.0	503.0	111.0	661.0	28.0	241.0	1349.0	4532.0
A57119	553.0	982.0	7.0	505.0	93.0	854.0	41.0	354.0	1164.0	4553.0
A57115	561.0	1088.0	3.0	741.0	134.0	1150.0	74.0	240.0	871.0	4862.0
A37731	619.0	1061.0	3.0	675.0	145.0	863.0	47.0	239.0	1260.0	4912.0
A50343	739.0	1043.0	8.0	597.0	115.0	659.0	61.0	178.0	1691.0	5091.0
A50345	688.0	1200.0	6.0	627.0	136.0	926.0	32.0	124.0	1606.0	5345.0
A37726	700.0	1300.0	6.0	620.0	166.0	1213.0	80.0	176.0	1543.0	5804.0
A37722	847.0	1264.0	9.0	706.0	172.0	942.0	46.0	150.0	1851.0	5987.0
A50346	792.0	1368.0	11.0	847.0	148.0	1145.0	44.0	146.0	1542.0	6043.0
A37721	870.0	1335.0	14.0	859.0	123.0	1107.0	64.0	130.0	1973.0	6475.0
A37716	771.0	1368.0	11.0	884.0	160.0	1188.0	49.0	153.0	2029.0	6613.0
A37727	847.0	1497.0	13.0	786.0	152.0	1224.0	47.0	257.0	1803.0	6626.0
A37730	841.0	1510.0	6.0	809.0	152.0	1245.0	72.0	209.0	1799.0	6643.0
A37734	991.0	1473.0	9.0	902.0	167.0	1142.0	112.0	164.0	1975.0	6935.0
A37733	1064.0	1654.0	8.0	857.0	170.0	1170.0	68.0	230.0	1820.0	7041.0
A37732	886.0	1646.0	15.0	846.0	207.0	1209.0	63.0	120.0	2116.0	7108.0
A37719	688.0	1479.0	13.0	621.0	186.0	1119.0	77.0	298.0	2666.0	7147.0
A37725	960.0	1615.0	8.0	629.0	198.0	1176.0	102.0	225.0	2361.0	7274.0
A37701	1106.0	1623.0	6.0	772.0	163.0	1226.0	40.0	138.0	2268.0	7342.0
A37704	903.0	1683.0	10.0	951.0	177.0	1285.0	73.0	233.0	2189.0	7504.0
A37708	1055.0	1624.0	9.0	1087.0	188.0	1485.0	28.0	239.0	1854.0	7569.0
A37738	945.0	1626.0	10.0	835.0	219.0	1325.0	125.0	225.0	2260.0	7570.0
A37718	969.0	1673.0	16.0	1046.0	171.0	1333.0	113.0	254.0	2000.0	7575.0
A37717	1050.0	1685.0	9.0	923.0	165.0	1387.0	116.0	208.0	2118.0	7661.0
A37736	1069.0	1653.0	7.0	1001.0	206.0	1329.0	101.0	338.0	2050.0	7754.0
A37706	945.0	1652.0	10.0	884.0	171.0	1471.0	97.0	311.0	2292.0	7833.0
A37724	923.0	1707.0	12.0	769.0	189.0	1246.0	49.0	339.0	2624.0	7858.0
A37720	1183.0	1720.0	6.0	984.0	215.0	1195.0	78.0	122.0	2429.0	7932.0
A37702	1098.0	1741.0	12.0	1103.0	198.0	1412.0	63.0	215.0	2204.0	8046.0
A37711	1034.0	1798.0	10.0	857.0	179.0	1309.0	87.0	375.0	2536.0	8185.0
A37723	1153.0	1641.0	12.0	825.0	167.0	1202.0	98.0	361.0	2756.0	8215.0
A37729	1064.0	1786.0	12.0	984.0	218.0	1097.0	42.0	328.0	2836.0	8367.0
A37707	1112.0	1728.0	11.0	1013.0	176.0	1557.0	169.0	194.0	2755.0	8715.0
A37737	978.0	1847.0	10.0	1172.0	211.0	1617.0	99.0	484.0	2729.0	9147.0
A37735	1158.0	2091.0	19.0	1146.0	227.0	1486.0	79.0	422.0	2701.0	9329.0
A37715	1277.0	1757.0	5.0	1115.0	235.0	1450.0	96.0	331.0	3065.0	9331.0
A37714	1143.0	1907.0	18.0	1024.0	227.0	1471.0	121.0	342.0	3097.0	9350.0
A37710	1218.0	1933.0	12.0	1124.0	206.0	1490.0	74.0	220.0	3237.0	9514.0
A37700	1321.0	2131.0	14.0	1157.0	223.0	1541.0	91.0	216.0	3983.0	10677.0
A37705	1278.0	2590.0	15.0	2025.0	274.0	2299.0	129.0	463.0	4093.0	13166.0
