gene,mutation_frequency_x,mutation_frequency_y
PIK3CA,0.3474576271186441,0.3333333333333333
FAT1,0.1864406779661017,0.12643678160919541
MLL2,0.1440677966101695,
FBXW7,0.1016949152542373,0.1724137931034483
SLC35G5,0.06779661016949153,0.034482758620689655
CASP8,0.06779661016949153,0.09195402298850575
PSPC1,0.05084745762711865,
PCDHGA12,0.05084745762711865,0.04597701149425287
MAPK1,0.05084745762711865,0.022988505747126436
ZNF750,0.0423728813559322,0.011494252873563218
ZC3H6,0.03389830508474576,0.034482758620689655
PCDHA9,0.025423728813559324,0.034482758620689655
