,ARFGAP3,KLF12,LRP1B,MYC,NEGR1,NFKB1,NFKB2,POU5F1B,SCAF11,STK11
HTMCP-03-06-02001,19.5059,1.2406,0.0591,44.4223,0.151,28.2237,25.324,0.0614,8.1612,7.7324
HTMCP-03-06-02002,15.5748,0.3155,0.0177,47.1335,0.0664,24.0621,11.3559,0.1385,8.6626,3.7501
HTMCP-03-06-02003,21.6183,1.1211,0.0042,80.766,0.4958,17.0343,16.5314,0.0442,10.6095,4.8476
HTMCP-03-06-02006,17.1843,2.0507,0.0274,25.2229,0.5199,13.5955,10.4378,0.4897,17.5457,10.8022
HTMCP-03-06-02008,26.5971,4.4694,0.0,61.402,0.9301,16.2171,17.0621,0.0574,9.8895,6.268
HTMCP-03-06-02012,13.2131,0.8428,0.0125,46.7803,0.7337,18.397,21.2439,0.0877,7.7069,6.6824
HTMCP-03-06-02013,14.0877,2.1703,0.0012,70.4637,0.1497,13.4999,17.9354,0.8728,9.0705,10.355
HTMCP-03-06-02020,12.8769,1.2186,0.0042,83.4918,0.7084,21.2224,19.1262,0.0385,11.6783,6.9892
HTMCP-03-06-02036,22.2785,1.1959,0.0065,47.8707,0.2194,12.218,14.5133,0.0547,11.6606,7.3519
HTMCP-03-06-02037,24.7854,2.1777,0.0584,60.8798,0.0667,19.68,16.3607,0.0763,9.9449,0.9976
HTMCP-03-06-02040,12.104,3.5184,0.0078,59.6889,0.3146,26.2583,16.6973,0.0697,13.0205,5.1958
HTMCP-03-06-02042,19.7328,1.6944,0.0106,54.6406,0.2325,27.6675,14.2423,0.1196,9.554,10.3195
HTMCP-03-06-02046,17.7452,2.033,0.0041,21.4314,0.8254,29.0421,31.2155,0.0307,12.4027,26.917
HTMCP-03-06-02047,21.6641,165.9154,0.0064,18.2467,0.2253,6.3334,22.3231,0.0504,7.7973,9.4374
HTMCP-03-06-02054,16.1032,1.7648,0.0003,81.2491,0.2024,25.6101,15.8195,0.0037,6.942,6.8346
HTMCP-03-06-02057,19.2488,0.5788,0.0109,46.2847,0.0205,16.6729,10.8104,0.0166,6.9804,5.6644
HTMCP-03-06-02058,36.0462,1.5511,0.0,64.2076,0.0599,19.4434,34.6696,0.0119,11.8305,5.6457
HTMCP-03-06-02063,18.4969,1.3959,0.1962,21.065,0.3643,18.7138,12.8264,0.0362,11.3183,9.7473
HTMCP-03-06-02068,19.8834,0.4591,0.0,20.9111,0.247,15.2578,16.6546,0.0611,10.6327,7.1472
HTMCP-03-06-02070,24.0088,1.7436,0.0826,36.4102,0.3357,18.2283,19.2065,0.0965,12.8989,9.8336
HTMCP-03-06-02071,15.1194,1.9656,0.0035,99.988,0.1812,26.6899,16.9835,0.0146,12.626,9.061
HTMCP-03-06-02074,31.7231,1.5019999999999998,0.0072,30.0456,0.2411,16.2708,21.0002,0.025,9.6597,7.5084
HTMCP-03-06-02075,20.8297,0.3714,0.0018,2.2565,0.7266,8.6915,13.9419,0.0341,6.8097,3.2056
HTMCP-03-06-02076,22.0327,0.1986,0.0011,58.6825,0.0484,27.2334,43.7061,0.0102,7.7282,4.1549
HTMCP-03-06-02089,10.1283,0.2344,0.0,54.6016,0.106,24.9808,22.5882,0.0186,9.6447,7.0702
HTMCP-03-06-02092,19.6615,2.7071,0.0081,22.7976,0.821,20.2707,20.768,0.0391,14.6886,6.5703
HTMCP-03-06-02097,18.379,2.4676,0.0332,85.1239,1.0142,10.2437,31.6109,0.0316,10.4457,2.5033
HTMCP-03-06-02098,15.4283,1.9251,0.3299,55.4429,0.1829,13.8193,70.5923,0.166,13.0335,8.1022
HTMCP-03-06-02099,18.7252,2.9047,0.0451,42.6026,1.3292,13.4672,33.8961,0.0224,8.6666,1.843
HTMCP-03-06-02103,17.9091,2.0877,0.1403,55.2636,1.1397,12.0099,23.7576,0.0165,7.2593,6.3811
HTMCP-03-06-02108,17.6029,1.4955,0.001,111.6664,0.1833,20.1275,23.5736,0.0357,9.7217,2.4306
HTMCP-03-06-02109,35.2331,3.3233,0.0025,64.1355,0.9781,12.6562,9.8326,0.0236,14.7047,7.6891
HTMCP-03-06-02110,16.4704,2.176,0.0325,105.0579,0.3662,8.6084,8.5763,0.0102,13.0798,5.9612
HTMCP-03-06-02113,16.3221,1.923,0.0082,14.3185,1.0609,19.7435,15.6621,0.0154,11.7976,4.6575
HTMCP-03-06-02120,21.6024,1.0323,0.0,36.0927,0.1124,17.319000000000006,16.8098,0.0849,13.1697,4.6324
HTMCP-03-06-02125,15.5069,0.5202,0.0011,116.05,0.0469,15.5375,25.3204,0.0266,11.2507,2.9723
HTMCP-03-06-02128,32.6614,0.7728,0.0005,81.5787,0.2122,10.8303,10.5244,0.0235,11.4463,7.1631
HTMCP-03-06-02139,27.8638,1.1201,0.0021,5.6918,0.1976,8.4289,17.6255,0.0016,9.9692,5.2343
HTMCP-03-06-02144,15.9682,0.3067,0.0,80.2916,0.0472,17.9198,23.4842,0.0393,13.1109,7.3439999999999985
