patient,gene,rpkm,integration
HTMCP-03-06-02001,ARFGAP3,19.5059,wt
HTMCP-03-06-02002,ARFGAP3,15.5748,integrated
HTMCP-03-06-02003,ARFGAP3,21.6183,wt
HTMCP-03-06-02006,ARFGAP3,17.1843,wt
HTMCP-03-06-02008,ARFGAP3,26.5971,wt
HTMCP-03-06-02012,ARFGAP3,13.2131,wt
HTMCP-03-06-02013,ARFGAP3,14.0877,wt
HTMCP-03-06-02020,ARFGAP3,12.8769,wt
HTMCP-03-06-02036,ARFGAP3,22.2785,wt
HTMCP-03-06-02037,ARFGAP3,24.7854,wt
HTMCP-03-06-02040,ARFGAP3,12.104,wt
HTMCP-03-06-02042,ARFGAP3,19.7328,wt
HTMCP-03-06-02046,ARFGAP3,17.7452,wt
HTMCP-03-06-02047,ARFGAP3,21.6641,wt
HTMCP-03-06-02054,ARFGAP3,16.1032,wt
HTMCP-03-06-02057,ARFGAP3,19.2488,wt
HTMCP-03-06-02058,ARFGAP3,36.0462,wt
HTMCP-03-06-02063,ARFGAP3,18.4969,wt
HTMCP-03-06-02068,ARFGAP3,19.8834,wt
HTMCP-03-06-02070,ARFGAP3,24.0088,wt
HTMCP-03-06-02071,ARFGAP3,15.1194,wt
HTMCP-03-06-02074,ARFGAP3,31.7231,wt
HTMCP-03-06-02075,ARFGAP3,20.8297,wt
HTMCP-03-06-02076,ARFGAP3,22.0327,wt
HTMCP-03-06-02089,ARFGAP3,10.1283,wt
HTMCP-03-06-02092,ARFGAP3,19.6615,wt
HTMCP-03-06-02097,ARFGAP3,18.379,wt
HTMCP-03-06-02098,ARFGAP3,15.4283,wt
HTMCP-03-06-02099,ARFGAP3,18.7252,wt
HTMCP-03-06-02103,ARFGAP3,17.9091,wt
HTMCP-03-06-02108,ARFGAP3,17.6029,wt
HTMCP-03-06-02109,ARFGAP3,35.2331,wt
HTMCP-03-06-02110,ARFGAP3,16.4704,wt
HTMCP-03-06-02113,ARFGAP3,16.3221,wt
HTMCP-03-06-02120,ARFGAP3,21.6024,wt
HTMCP-03-06-02125,ARFGAP3,15.5069,wt
HTMCP-03-06-02128,ARFGAP3,32.6614,wt
HTMCP-03-06-02139,ARFGAP3,27.8638,wt
HTMCP-03-06-02144,ARFGAP3,15.9682,wt
HTMCP-03-06-02145,ARFGAP3,30.805,wt
HTMCP-03-06-02147,ARFGAP3,15.3308,wt
HTMCP-03-06-02148,ARFGAP3,15.3727,wt
HTMCP-03-06-02149,ARFGAP3,14.7439,wt
HTMCP-03-06-02150,ARFGAP3,28.3816,wt
HTMCP-03-06-02151,ARFGAP3,14.0054,wt
HTMCP-03-06-02152,ARFGAP3,22.3675,wt
HTMCP-03-06-02155,ARFGAP3,14.0913,wt
HTMCP-03-06-02156,ARFGAP3,32.3362,wt
HTMCP-03-06-02170,ARFGAP3,11.1739,wt
HTMCP-03-06-02174,ARFGAP3,16.605999999999998,wt
HTMCP-03-06-02175,ARFGAP3,21.3193,wt
HTMCP-03-06-02176,ARFGAP3,10.9654,wt
HTMCP-03-06-02179,ARFGAP3,16.6646,wt
HTMCP-03-06-02180,ARFGAP3,17.1306,wt
HTMCP-03-06-02182,ARFGAP3,19.4373,wt
HTMCP-03-06-02185,ARFGAP3,12.6469,wt
HTMCP-03-06-02194,ARFGAP3,14.6714,wt
HTMCP-03-06-02195,ARFGAP3,5.3931,wt
HTMCP-03-06-02196,ARFGAP3,14.4291,wt
HTMCP-03-06-02197,ARFGAP3,12.5065,wt
HTMCP-03-06-02202,ARFGAP3,12.6512,wt
HTMCP-03-06-02203,ARFGAP3,31.3506,wt
HTMCP-03-06-02204,ARFGAP3,16.7737,wt
HTMCP-03-06-02205,ARFGAP3,3.4074,wt
HTMCP-03-06-02209,ARFGAP3,11.6414,wt
HTMCP-03-06-02210,ARFGAP3,9.3893,wt
HTMCP-03-06-02213,ARFGAP3,15.403,wt
HTMCP-03-06-02214,ARFGAP3,16.7467,wt
HTMCP-03-06-02215,ARFGAP3,18.6571,wt
HTMCP-03-06-02216,ARFGAP3,27.8168,wt
HTMCP-03-06-02217,ARFGAP3,40.4361,wt
HTMCP-03-06-02219,ARFGAP3,17.61,wt
HTMCP-03-06-02222,ARFGAP3,24.308000000000003,wt
HTMCP-03-06-02225,ARFGAP3,18.683,wt
HTMCP-03-06-02230,ARFGAP3,12.5934,wt
HTMCP-03-06-02235,ARFGAP3,19.8975,wt
HTMCP-03-06-02238,ARFGAP3,11.5772,wt
HTMCP-03-06-02239,ARFGAP3,21.3061,wt
HTMCP-03-06-02240,ARFGAP3,26.859,wt
HTMCP-03-06-02242,ARFGAP3,13.7047,wt
HTMCP-03-06-02256,ARFGAP3,18.0855,wt
HTMCP-03-06-02259,ARFGAP3,10.0958,wt
HTMCP-03-06-02260,ARFGAP3,12.914,wt
HTMCP-03-06-02261,ARFGAP3,15.4547,wt
HTMCP-03-06-02262,ARFGAP3,24.2848,wt
HTMCP-03-06-02264,ARFGAP3,12.7857,wt
HTMCP-03-06-02266,ARFGAP3,15.1587,wt
HTMCP-03-06-02267,ARFGAP3,18.3178,wt
HTMCP-03-06-02268,ARFGAP3,12.1402,wt
HTMCP-03-06-02320,ARFGAP3,14.7435,wt
HTMCP-03-06-02322,ARFGAP3,19.6877,wt
HTMCP-03-06-02326,ARFGAP3,16.1631,wt
HTMCP-03-06-02328,ARFGAP3,17.1913,wt
HTMCP-03-06-02330,ARFGAP3,21.5425,wt
HTMCP-03-06-02332,ARFGAP3,18.5949,wt
HTMCP-03-06-02333,ARFGAP3,17.9155,wt
HTMCP-03-06-02335,ARFGAP3,14.4259,wt
HTMCP-03-06-02340,ARFGAP3,18.486,wt
HTMCP-03-06-02341,ARFGAP3,27.3494,wt
HTMCP-03-06-02344,ARFGAP3,24.6971,wt
HTMCP-03-06-02346,ARFGAP3,14.5506,wt
HTMCP-03-06-02354,ARFGAP3,13.8278,wt
HTMCP-03-06-02377,ARFGAP3,13.5218,wt
HTMCP-03-06-02392,ARFGAP3,19.197,wt
